,Title,Link,Categories,Publishers,Developers
0,A Plague Tale: Innocence,https://www.microsoft.com/en-us/store/p/a-plague-tale-innocence---windows-10/9ND0CG3LM22K,"Action & adventure, Role playing",Focus Home Interactive,Focus Home Interactive
1,Age of Empires Definitive Edition,https://www.microsoft.com/en-us/store/p/age-of-empires-definitive-edition/9NJWTJSVGVLJ,Strategy,Xbox Game Studios,Xbox Game Studios
2,Age of Empires II: Definitive Edition,https://www.microsoft.com/en-us/store/p/age-of-empires-ii-definitive-edition/9NJDD0JGPP2Q,Strategy,Xbox Game Studios,Xbox Game Studios
3,Age of Empires III: Definitive Edition,https://www.microsoft.com/en-us/store/p/age-of-empires-iii-definitive-edition/9N1HF804QXN4,Strategy,Xbox Game Studios,Xbox Game Studios
4,Age of Wonders: Planetfall,https://www.microsoft.com/en-us/store/p/age-of-wonders-planetfall/9MZ2B3W86SCK,"Simulation, Strategy",Paradox Interactive,Triumph Studios
5,Alan Wake,https://www.microsoft.com/en-us/store/p/alan-wake/9NKV44QF1R68,Action & adventure,Remedy Entertainment,Remedy Entertainment
6,Alien: Isolation,https://www.microsoft.com/en-us/store/p/alien-isolation/9NSRJ872SGH7,Action & adventure,SEGA Europe Ltd,SEGA Europe Ltd
7,Alvastia Chronicles,https://www.microsoft.com/en-us/store/p/alvastia-chronicles/9MVJGBNNFPPS,Role playing,KEMCO,EXE-CREATE
8,Ape Out,https://www.microsoft.com/en-us/store/p/ape-out/9NR6DZ9F76P8,"Action & adventure, Other",Devolver Digital,Devolver Digital
9,ARK: Survival Evolved,https://www.microsoft.com/en-us/store/p/ark-survival-evolved/9NBLGGH52XC6,"Action & adventure, Role playing, Shooter",Studio Wildcard,Studio Wildcard
10,Astrologaster,https://www.microsoft.com/en-us/store/p/astrologaster/9NFT0CMC62DX,Other,Nyamyam,Nyamyam
11,ASTRONEER,https://www.microsoft.com/en-us/store/p/astroneer/9NBLGGH43KZB,"Action & adventure, Family & kids",System Era Softworks,System Era Softworks
12,Bad North: Jotunn Edition,https://www.microsoft.com/en-us/store/p/bad-north-jotunn-edition/9N4T8VCMQVDT,"Action & adventure, Strategy",Raw Fury,Raw Fury
13,Battle Chasers: Nightwar,https://www.microsoft.com/en-us/store/p/battle-chasers-nightwar/9NT8XR7D5L00,"Action & adventure, Role playing",THQ Nordic,THQ Nordic
14,Battlefleet Gothic: Armada 2 - Windows 10,https://www.microsoft.com/en-us/store/p/battlefleet-gothic-armada-2---windows-10/9NGWKW55M85P,Strategy,Focus Home Interactive,Focus Home Interactive
15,BATTLETECH,https://www.microsoft.com/en-us/store/p/battletech/9NQVDQS2BC10,"Action & adventure, Strategy",Paradox Interactive,Paradox Interactive
16,Battletoads,https://www.microsoft.com/en-us/store/p/battletoads/9N7GCF5SGCXC,Action & adventure,"Xbox Games Studios, Rare Ltd",Dlala Studios
17,Blair Witch,https://www.microsoft.com/en-us/store/p/blair-witch/9NG7LG421V0Q,"Action & adventure, Other",Bloober Team NA,Bloober Team NA
18,Bleeding Edge,https://www.microsoft.com/en-us/store/p/bleeding-edge/9NX6XGVJ0J3D,Fighting,Xbox Game Studios,Xbox Game Studios
19,Bloodstained: Ritual of the Night,https://www.microsoft.com/en-us/store/p/bloodstained-ritual-of-the-night/9MWB2BFF0SPD,Action & adventure,505 Games,505 Games
20,Bridge Constructor Portal,https://www.microsoft.com/en-us/store/p/bridge-constructor-portal/9PDXF172R7VJ,"Puzzle & trivia, Simulation",Headup GmbH,Headup GmbH
21,Broforce,https://www.microsoft.com/en-us/store/p/broforce/9P03ZQMBMV65,Action & adventure,Devolver Digital,Devolver Digital
22,Carrion,https://www.microsoft.com/en-us/store/p/carrion/9MSMJH3C6TKR,"Action & adventure, Other",Devolver Digital,Devolver Digital
23,Children of Morta,https://www.microsoft.com/en-us/store/p/children-of-morta/9P675WH90SB4,"Action & adventure, Role playing",11 bit studios,Dead Mage
24,Cities: Skylines,https://www.microsoft.com/en-us/store/p/cities-skylines---windows-10-edition/9NWVC7XP3PFD,Simulation,Paradox Interactive,Paradox Interactive
25,ClusterTruck,https://www.microsoft.com/en-us/store/p/clustertruck/9N8WVMD7J5GQ,Action & adventure,tinyBuild Games,tinyBuild Games
26,Crackdown 3,https://www.microsoft.com/en-us/p/crackdown-3/9NXR6469DM2P,Action & adventure,Xbox Game Studios,Xbox Game Studios
27,Creature in the Well,https://www.microsoft.com/en-us/store/p/creature-in-the-well/9P3SWZZJ1M4B,"Action & adventure, Role playing",MWM Interactive,MWM Interactive
28,CrossCode,https://www.microsoft.com/en-us/store/p/crosscode/9NFDPQ0KZ6RN,"Action & adventure, Role playing",DECK13 Spotlight,DECK13 Spotlight
29,Crossing Souls,https://www.microsoft.com/en-us/store/p/crossing-souls/9PD1Z95CNTW4,Action & adventure,Devolver Digital,Devolver Digital
30,Crusader Kings III,https://www.microsoft.com/en-us/store/p/crusader-kings-iii/9N7GG222GTTH,"Role playing, Simulation, Strategy",Paradox Interactive,Paradox Interactive
31,Darksiders Genesis,https://www.microsoft.com/en-us/store/p/darksiders-genesis/9NJ5X04M30HN,Action & adventure,THQ Nordic,THQ Nordic
32,Darksiders III,https://www.microsoft.com/en-us/store/p/darksiders-iii/9PLPXGK1GDQ1,Action & adventure,THQ Nordic,THQ Nordic
33,Dead by Daylight,https://www.microsoft.com/en-us/store/p/dead-by-daylight-windows/9NMS4SFNBGBH,"Action & adventure, Other",Behaviour Interactive Inc.,Behaviour Interactive Inc.
34,Dead Cells,https://www.microsoft.com/en-us/store/p/dead-cells/9NKVX66J0ZSK,Action & adventure,Motion Twin,Motion Twin
