,ProductName,Platform,ListPrice,MSProduct,Multiplayer,Rating,RatingSystem,ReleaseDate,MSStoreLink
0,A Plague Tale: Innocence,Xbox One,49.99,false,false,Mature 17+,ESRB,2019-05-14,https://www.microsoft.com/en-us/store/p/a-plague-tale-innocence/BQ2NNLQPS8RS
1,A Plague Tale: Innocence - Windows 10,PC,44.99,false,false,Mature 17+,ESRB,2020-01-23,https://www.microsoft.com/en-us/store/p/a-plague-tale-innocence---windows-10/9ND0CG3LM22K
2,Absolver,Xbox One,29.99,false,true,Everyone,ESRB,2019-01-07,https://www.microsoft.com/en-us/store/p/absolver/C3XCXTFS6FFQ
3,ACE COMBAT™ 7: SKIES UNKNOWN,Xbox One,59.99,false,true,Teen,ESRB,2019-01-18,https://www.xbox.com/en-us/games/ace-combat-7-skies-unknown
4,Afterparty,Xbox One,19.99,false,false,Mature 17+,ESRB,2019-10-29,https://www.microsoft.com/en-us/store/p/afterparty/9PC5VBPLHWNV
5,Age of Empires Definitive Edition,PC,19.99,true,true,Teen,ESRB,2019-08-19,https://www.microsoft.com/en-us/store/p/age-of-empires-definitive-edition/9NJWTJSVGVLJ
6,Age of Empires II: Definitive Edition,PC,19.99,true,true,Teen,ESRB,2019-11-14,https://www.microsoft.com/en-us/store/p/age-of-empires-ii-definitive-edition/9NJDD0JGPP2Q
7,Age of Empires III: Definitive Edition,PC,19.99,true,true,Teen,ESRB,2020-10-15,https://www.microsoft.com/en-us/store/p/age-of-empires-iii-definitive-edition/9N1HF804QXN4
8,Age of Wonders: Planetfall,Xbox One,49.99,false,true,Teen,ESRB,2019-08-06,https://www.microsoft.com/en-us/store/p/age-of-wonders-planetfall/BPTKRR85P0JW
9,Age of Wonders: Planetfall,PC,49.99,false,true,Teen,ESRB,2019-12-11,https://www.microsoft.com/en-us/store/p/age-of-wonders-planetfall/9MZ2B3W86SCK
10,Alan Wake,PC,12.49,false,false,Teen,ESRB,2020-05-21,https://www.microsoft.com/en-us/store/p/alan-wake/9NKV44QF1R68
11,Alan Wake,Xbox One,19.99,true,false,Teen,ESRB,2010-05-18,https://www.microsoft.com/en-us/store/p/alan-wake/C493V31WXV80
12,Alien: Isolation,Xbox One,29.99,false,false,Mature 17+,ESRB,2014-10-07,https://www.microsoft.com/en-us/store/p/alien-isolation/C1H9V6SLK2K5
13,Alien: Isolation,PC,39.99,false,false,Mature 17+,ESRB,2020-04-09,https://www.microsoft.com/en-us/store/p/alien-isolation/9NSRJ872SGH7
14,Alvastia Chronicles,Both,14.99,false,false,Everyone 10+,ESRB,2019-01-18,https://www.microsoft.com/en-us/store/p/alvastia-chronicles/9MVJGBNNFPPS
15,Ape Out,PC,14.99,false,false,Teen,ESRB,2019-08-22,https://www.microsoft.com/en-us/store/p/ape-out/9NR6DZ9F76P8
