,Query,Result,Price
0,A Plague Tale: Innocence,A Plague Tale: Innocence,14.99
1,Age of Empires Definitive Edition,Age of Empires Definitive Edition,4.99
2,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition,13.79
3,Age of Empires III: Definitive Edition,Age of Empires III: Definitive Edition,19.99
4,Age of Wonders: Planetfall,Age of Wonders: Planetfall,8.46
5,Alan Wake,Alan Wake,0
6,Alien: Isolation,Alien: Isolation,1.99
7,Alvastia Chronicles,Alvastia Chronicles,6.49
8,Ape Out,Ape Out,0
9,ARK: Survival Evolved,ARK: Survival Evolved,0
10,Astrologaster,Astrologaster,5.99
11,ASTRONEER,ASTRONEER,14
12,Bad North: Jotunn Edition,Bad North: Jotunn Edition,5.99
13,Battle Chasers: Nightwar,Battle Chasers: Nightwar,5.99
14,Battlefleet Gothic: Armada 2 - Windows 10,Battlefleet Gothic: Armada 2 - Windows 10,11.99
15,BATTLETECH,BattleTech,6.39
16,Battletoads,Battletoads,19.99
17,Blair Witch,Blair Witch,4.39
18,Bleeding Edge,Bleeding Edge,14.99
19,Bloodstained: Ritual of the Night,Bloodstained: Ritual of the Night,17.39
20,Bridge Constructor Portal,Bridge Constructor Portal,3.99
21,Broforce,BROFORCE,2.99
22,Carrion,CARRION,0
23,Children of Morta,Children of Morta,10.53
24,Cities: Skylines,Cities: Skyline,29.99
25,ClusterTruck,ClusterTruck,3.5
26,Crackdown 3,Crackdown 3,14.99
27,Creature in the Well,Creature in the Well,7.99
28,CrossCode,CrossCode,10.79
29,Crossing Souls,Crossing Souls,3.05
30,Crusader Kings III,Crusader Kings III,39.49
31,Darksiders Genesis,Darksiders Genesis,15.99
32,Darksiders III,Darksiders III,14.59
33,Dead by Daylight,Dead by Daylight,0
34,Dead Cells,Dead Cells,10.19
35,Death's Gambit,Death's Gambit,3.99
36,Deliver Us The Moon,Deliver Us The Moon,13.12
37,DEMON'S TILT,Demon's Tilt,11.24
38,Descenders,Descenders,0
39,DiRT Rally 2.0,DiRT Rally 2.0,6.54
40,Dishonored 2,Dishonored 2,7.02
41,Disneyland Adventures,Disneyland Adventures,4.99
42,Don't Starve: Giant Edition,Don't Starve + Reign of Giants,4.74
43,Double Kick Heroes,Double Kick Heroes,5.77
44,Downwell,Downwell,0.62
45,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,DRAGON QUEST® XI S: Echoes of an Elusive Age - Definitive Edition,39.99
46,Dungeon of the Endless,Dungeon of the Endless,0
47,Endless Legend,Endless Legend,10.19
48,Endless Space 2: Deluxe Edition,Endless Space 2 - Deluxe Edition,12.49
49,Enter The Gungeon,Enter the Gungeon,0
50,Europa Universalis IV - Microsoft Store Edition,Europa Universalis IV,4.85
51,F1 2019,F1® 2019,5.99
52,Faeria,Faeria,0
53,Fallout 76,Fallout 76,0
54,Farming Simulator 17,Farming Simulator 17,7.49
55,Felix The Reaper,Felix The Reaper,3.99
56,FINAL FANTASY IX,FINAL FANTASY IX,6.3
57,FINAL FANTASY VII,FINAL FANTASY VII,2.99
58,FINAL FANTASY XV,FINAL FANTASY XV WINDOWS EDITION,17.49
59,Fishing Sim World: Pro Tour,Fishing Sim World®: Pro Tour,5.99
60,Football Manager 2020,Football Manager 2020,0
61,For The King,Kings,0.49
62,Forager,Forager,11.99
63,Forza Horizon 4 Standard Edition,Forza Horizon 4 Standard Edition,29.99
64,Frostpunk,Frostpunk,8.99
65,FTL: Faster Than Light,FTL: Faster Than Light,1.99
66,Gato Roboto,Gato Roboto,3.25
67,Gears 5,Gears 5,0
68,Gears 5 Ultimate Edition,Gears 5 Ultimate Edition,29.99
69,Gears of War 4,Gears of War 4,9.99
70,Gears of War: Ultimate Edition,Gears of War: Ultimate Edition,19.99
71,Gears Tactics - Windows 10,Gears Tactics,29.99
72,Goat Simulator,Goat Simulator,1.12
73,Golf With Your Friends,Golf With Your Friends,0.64
74,GoNNER,GoNNER,0
75,Gris,GRIS,5.77
76,Grounded - Game Preview,Grounded - Game Preview,29.99
77,Guacamelee! 2,Guacamelee! 2,3.99
78,Halo 2: Anniversary,Halo 2: Anniversary,7.99
79,Halo 3,Halo 3,9.99
80,Halo Wars 2,Halo Wars 2,15.99
81,Halo Wars 2: Standard Edition,Halo Wars 2: Standard Edition,15.99
82,Halo Wars: Definitive Edition,Halo Wars: Definitive Edition,7.99
83,Halo: Combat Evolved Anniversary,Halo: Combat Evolved Anniversary,7.99
84,Halo: Reach,Halo: Reach,7.99
85,Halo: Spartan Assault,Halo: Spartan Assault,1.19
86,Halo: Spartan Strike,Halo: Spartan Strike,1.19
87,Halo: The Master Chief Collection,Halo: The Master Chief Collection,27.99
88,Hatoful Boyfriend,Hatoful Boyfriend,1.49
89,Hearts of Iron IV: Cadet Edition,Hearts of Iron IV: Cadet Edition,5.99
90,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice,8.99
91,Hello Neighbor,"Hello, Neighbor!",0
92,Hollow Knight,Hollow Knight,7.49
93,Hotline Miami,Hotline Miami,0.75
94,Human Fall Flat,Human: Fall Flat,2.99
